temperature,humidity,light_level,hour_of_day,thermal_comfort,luminosity_comfort
22.29,33.01,883,12,neutral,too_bright
29.86,50.65,374,4,hot,too_bright
32.47,46.96,381,6,hot,too_bright
20.27,62.37,207,12,neutral,too_dark
10.09,58.98,824,18,cold,too_bright
20.33,39.46,822,2,neutral,too_bright
17.7,79.26,272,8,neutral,neutral
26.21,67.97,745,13,neutral,neutral
17.64,79.44,483,22,neutral,too_bright
22.04,59.75,192,22,neutral,too_bright
15.38,54.19,849,20,cold,too_bright
20.17,64.48,94,12,neutral,too_dark
23.24,46.03,857,2,neutral,too_bright
26.4,58.44,17,23,hot,neutral
29.56,49.94,329,14,hot,too_dark
19.79,34.49,232,21,neutral,too_bright
16.2,57.55,272,22,cold,neutral
23.55,47.86,519,19,neutral,neutral
23.6,50.93,765,10,neutral,neutral
32.96,60.58,469,14,hot,neutral
20.43,77.41,519,16,neutral,neutral
15.42,42.96,987,21,cold,too_bright
32.6,48.07,481,5,hot,too_bright
21.62,42.65,772,13,neutral,neutral
30.8,40.26,364,14,hot,neutral
11.22,42.3,105,4,cold,neutral
26.27,49.73,280,9,hot,too_dark
10.5,64.03,139,22,cold,neutral
23.92,62.35,930,0,neutral,too_bright
10.81,41.14,47,12,cold,too_dark
28.6,72.1,791,14,hot,neutral
15.21,67.57,185,21,cold,neutral
25.07,39.6,180,6,neutral,neutral
24.56,68.2,562,9,neutral,neutral
16.27,59.57,113,1,cold,neutral
16.96,54.26,26,8,neutral,too_dark
29.36,59.87,788,23,hot,too_bright
17.98,52.08,92,18,neutral,too_dark
28.86,61.49,610,10,hot,neutral
18.96,57.15,138,15,neutral,too_dark
30.56,51.48,123,23,hot,neutral
31.39,24.25,702,10,hot,neutral
22.44,64.18,394,7,neutral,neutral
22.3,49.23,33,21,neutral,neutral
13.37,67.14,655,20,cold,too_bright
18.46,60.34,1004,12,neutral,too_bright
31.25,48.41,592,0,hot,too_bright
26.18,67.83,392,0,hot,too_bright
21.02,59.28,893,2,neutral,too_bright
19.07,56.87,350,16,neutral,too_dark
13.36,45.73,630,4,cold,too_bright
14.58,81.22,531,1,cold,too_bright
16.19,46.25,719,16,cold,too_bright
8.74,48.54,564,11,cold,neutral
29.46,37.4,525,12,neutral,neutral
26.11,65.48,451,4,hot,too_bright
23.2,42.03,291,5,neutral,neutral
11.84,51.86,505,5,cold,too_bright
14.49,46.84,41,15,cold,too_dark
24.45,56.34,332,23,neutral,neutral
10.12,34.99,81,21,cold,neutral
12.08,20.76,306,2,cold,too_bright
21.38,62.19,354,16,neutral,neutral
16.29,21.21,0,18,neutral,too_dark
16.98,71.2,319,0,cold,too_bright
